,facent,rotatingR,Laserdist,ConcaveC,ReflectingDist
57,12,4.0,-1.7000000000000002,15,14.300000000000015
58,12,4.0,-1.8000000000000003,15,15.100000000000012
59,12,4.0,-1.9000000000000004,15,15.400000000000011
60,12,4.0,-2.0000000000000004,15,13.900000000000013
61,12,4.0,-2.1000000000000005,15,12.700000000000014
62,12,4.0,-2.2000000000000006,15,11.70000000000001
63,12,4.0,-2.3000000000000007,15,10.800000000000008
64,12,4.0,-2.400000000000001,15,10.000000000000009
65,12,4.0,-2.500000000000001,15,9.200000000000008
66,12,4.5,-1.5,15,12.699999999999953
67,12,4.5,-1.6,15,13.799999999999951
68,12,4.5,-1.7000000000000002,15,14.199999999999951
69,12,4.5,-1.8000000000000003,15,14.999999999999945
70,12,4.5,-1.9000000000000004,15,15.299999999999942
71,12,4.5,-2.0000000000000004,15,13.89999999999995
72,12,4.5,-2.1000000000000005,15,12.699999999999957
73,12,4.5,-2.2000000000000006,15,11.599999999999959
74,12,4.5,-2.3000000000000007,15,10.599999999999962
75,12,4.5,-2.400000000000001,15,9.899999999999963
76,12,4.5,-2.500000000000001,15,9.099999999999968
77,12,5.0,-1.5,15,12.599999999999957
78,12,5.0,-1.6,15,13.699999999999955
79,12,5.0,-1.7000000000000002,15,14.099999999999948
80,12,5.0,-1.8000000000000003,15,14.899999999999949
81,12,5.0,-1.9000000000000004,15,15.199999999999946
82,12,5.0,-2.0000000000000004,15,13.799999999999955
83,12,5.0,-2.1000000000000005,15,12.599999999999953
84,12,5.0,-2.2000000000000006,15,11.399999999999961
85,12,5.0,-2.3000000000000007,15,10.499999999999963
86,12,5.0,-2.400000000000001,15,9.699999999999966
87,12,5.0,-2.500000000000001,15,9.099999999999968
88,12,5.5,-1.5,15,10.299999999999965
89,12,5.5,-1.6,15,11.699999999999962
90,12,5.5,-1.7000000000000002,15,12.399999999999954
91,12,5.5,-1.8000000000000003,15,13.399999999999954
92,12,5.5,-1.9000000000000004,15,13.79999999999995
93,12,5.5,-2.0000000000000004,15,12.599999999999959
94,12,5.5,-2.1000000000000005,15,11.39999999999996
95,12,5.5,-2.2000000000000006,15,10.399999999999965
96,12,5.5,-2.3000000000000007,15,9.599999999999966
97,12,5.5,-2.400000000000001,15,8.799999999999969
98,12,5.5,-2.500000000000001,15,8.19999999999997
99,12,6.0,-1.5,15,8.099999999999973
100,12,6.0,-1.6,15,9.799999999999969
101,12,6.0,-1.7000000000000002,15,10.699999999999964
102,12,6.0,-1.8000000000000003,15,11.89999999999996
103,12,6.0,-1.9000000000000004,15,12.399999999999956
104,12,6.0,-2.0000000000000004,15,11.299999999999962
105,12,6.0,-2.1000000000000005,15,10.199999999999964
106,12,6.0,-2.2000000000000006,15,9.299999999999969
107,12,6.0,-2.3000000000000007,15,8.59999999999997
108,12,6.0,-2.400000000000001,15,7.89999999999997
109,12,6.0,-2.500000000000001,15,7.299999999999976
110,16,4.0,-1.5,15,7.700000000000008
111,16,4.0,-1.6,15,9.500000000000007
112,16,4.0,-1.7000000000000002,15,11.00000000000001
